rho	e	dif	type
0	0	0.0165257813245973	Method 1
0	0	0.0212064471041455	Method 1
0	0	-0.0456858206909782	Method 1
0	0	0.0303570828036278	Method 1
0	0	0.0510465076968646	Method 1
0	0	-0.00941306586696097	Method 1
0	0	0.0424661216407318	Method 1
0	0	-0.0310881117661312	Method 1
0	0	-0.0206275847916588	Method 1
0	0	-0.00831967981453226	Method 1
0	0	-0.000662537267440316	Method 1
0	0	0.0191565012375286	Method 1
0	0	-0.00692567198481752	Method 1
0	0	-0.0503435527502133	Method 1
0	0	-0.0277009194088945	Method 1
0	0	0.0492606628534001	Method 1
0	0	0.0303738439130555	Method 1
0	0	0.0338042272863618	Method 1
0	0	0.00160418516432729	Method 1
0	0	0.00937007147607015	Method 1
0	0	0.0170511462143138	Method 1
0	0	-0.0258647827080892	Method 1
0	0	-0.0234709055992491	Method 1
0	0	-0.0333998087632157	Method 1
0	0	-0.0469728367794289	Method 1
0	0	-0.0157173898506604	Method 1
0	0	-0.00514510550981345	Method 1
0	0	-0.0414511355575708	Method 1
0	0	-0.00336015204813493	Method 1
0	0	0.0144285150156529	Method 1
0	0	-0.0462439680041115	Method 1
0	0	-0.0369991822462142	Method 1
0	0	0.0113509887550067	Method 1
0	0	-0.0152001213981473	Method 1
0	0	0.0581783869536572	Method 1
0	0	-0.0253216575638616	Method 1
0	0	0.0109962746252321	Method 1
0	0	-0.00267828374329832	Method 1
0	0	-0.0266304122832724	Method 1
0	0	-0.00725208781049792	Method 1
0	0	0.000159930955271208	Method 1
0	0	0.0427084257589793	Method 1
0	0	0.00555577660331984	Method 1
0	0	-0.0177491127893847	Method 1
0	0	-0.0106342090845205	Method 1
0	0	-0.0160320369290226	Method 1
0	0	0.030696975910433	Method 1
0	0	-0.0137953534889677	Method 1
0	0	-0.0185844297651116	Method 1
0	0	0.0243090283046596	Method 1
0	0	-0.0349042351368692	Method 1
0	0	-0.0261473652641714	Method 1
0	0	0.0117272223739267	Method 1
0	0	-0.022971516673679	Method 1
0	0	-0.014378630202613	Method 1
0	0	0.0214637533817461	Method 1
0	0	0.0354565601588578	Method 1
0	0	-0.018239480244697	Method 1
0	0	0.00699949334977907	Method 1
0	0	-0.00852956633948436	Method 1
0	0	-0.0122591495758246	Method 1
0	0	0.0262627592037151	Method 1
0	0	0.0126495343165813	Method 1
0	0	-0.0383470919098499	Method 1
0	0	0.0447994235996902	Method 1
0	0	0.0267652752909341	Method 1
0	0	0.0150218572520504	Method 1
0	0	-0.0215987330601349	Method 1
0	0	-0.0013067561771775	Method 1
0	0	-0.00101868954637444	Method 1
0	0	0.0453697551826395	Method 1
0	0	0.0245057211716174	Method 1
0	0	-0.0283622827088563	Method 1
0	0	-0.0116670801986951	Method 1
0	0	-0.00393432572988428	Method 1
0	0	0.0295346473869781	Method 1
0	0	0.00255710259732322	Method 1
0	0	-0.00375962874232473	Method 1
0	0	0.0639296770985435	Method 1
0	0	-0.00403337369308111	Method 1
0	0	-0.0152478670283276	Method 1
0	0	-0.0599390292566042	Method 1
0	0	-0.00246014158380799	Method 1
0	0	0.0376018728899392	Method 1
0	0	0.0221210373714265	Method 1
0	0	-0.0428802211315759	Method 1
0	0	-0.00724802893430337	Method 1
0	0	0.0291020928187208	Method 1
0	0	0.0220779331717278	Method 1
0	0	-0.00902430892272672	Method 1
0	0	-0.0582308798121863	Method 1
0	0	-0.0330873655146526	Method 1
0	0	0.0166998923823551	Method 1
0	0	-0.035172674702694	Method 1
0	0	0.101566224380079	Method 1
0	0	0.00720303420288716	Method 1
0	0	-0.0319797550433117	Method 1
0	0	-0.0168779670077645	Method 1
0	0	-0.000136806141587727	Method 1
0	0	0.0445824297174186	Method 1
0	0	0.00427450875924806	Method 1
0	0	0.00245010464377651	Method 1
0	0	-0.0254337746360465	Method 1
0	0	-0.0330099439395199	Method 1
0	0	0.026924519495967	Method 1
0	0	-0.0323380449089237	Method 1
0	0	0.0399988755096959	Method 1
0	0	-0.0156422437761635	Method 1
0	0	0.00843994263668678	Method 1
0	0	-0.0630859298086917	Method 1
0	0	0.0297691724938497	Method 1
0	0	0.0330891499957511	Method 1
0	0	0.0164714780145895	Method 1
0	0	-0.024472896179577	Method 1
0	0	0.0620417147164205	Method 1
0	0	-0.00661781585350237	Method 1
0	0	0.0389113449534968	Method 1
0	0	-0.0121702660077313	Method 1
0	0	0.00992842662156124	Method 1
0	0	-0.00342222023386995	Method 1
0	0	0.0377223018449992	Method 1
0	0	-0.0277283605331212	Method 1
0	0	-0.00366484069591145	Method 1
0	0	-0.00690754644522202	Method 1
0	0	0.0406830932368135	Method 1
0	0	-0.0371345577040207	Method 1
0	0	-0.023258255444196	Method 1
0	0	-0.0192753578899118	Method 1
0	0	0.0220245172674279	Method 1
0	0	-0.0233471037893344	Method 1
0	0	-0.0397972171792982	Method 1
0	0	0.0110628146136482	Method 1
0	0	-0.0267935854522213	Method 1
0	0	0.0457702866665467	Method 1
0	0	-0.00497419642778468	Method 1
0	0	0.0164304485627507	Method 1
0	0	0.0276487727317069	Method 1
0	0	0.0289500108295099	Method 1
0	0	0.0881745433356889	Method 1
0	0	0.0218493334528916	Method 1
0	0	-0.0110274767066604	Method 1
0	0	-0.0125768189167131	Method 1
0	0	-0.0356679140392665	Method 1
0	0	0.0171117861624873	Method 1
0	0	0.023506847986491	Method 1
0	0	-0.0158977768184993	Method 1
0	0	0.0452400348102637	Method 1
0	0	0.0065292509059423	Method 1
0	0	-0.033164024752167	Method 1
0	0	-0.0817934355509394	Method 1
0	0	0.0235832733522768	Method 1
0	0	0.0244093944634499	Method 1
0	0	0.0397895216800732	Method 1
0	0	-0.0142478255744366	Method 1
0	0	0.0037366567389701	Method 1
0	0	0.00671631091090829	Method 1
0	0	-0.00941306586696097	Method 1
0	0	0.0401317801362629	Method 1
0	0	0.00352905045554596	Method 1
0	0	0.0118299682799143	Method 1
0	0	0.0152031448357863	Method 1
0	0	-0.00532459883987223	Method 1
0	0	0.00873460573852991	Method 1
0	0	-0.00424544300078004	Method 1
0	0	-0.0378987860633061	Method 1
0	0	-0.0182577516874275	Method 1
0	0	0.0084631739562154	Method 1
0	0	-0.0515454028250121	Method 1
0	0	-0.000250796371765202	Method 1
0	0	-0.0833462806587959	Method 1
0	0	0.00679824931521657	Method 1
0	0	-0.00854545660678456	Method 1
0	0	-0.00268679871872653	Method 1
0	0	-0.0278222308979776	Method 1
0	0	0.00797877809228599	Method 1
0	0	0.00568462592407024	Method 1
0	0	-0.0268726704357672	Method 1
0	0	-0.0462433867459979	Method 1
0	0	-0.00725325170360029	Method 1
0	0	0.0260283527172188	Method 1
0	0	-0.02206323870806	Method 1
0	0	0.0593693723434556	Method 1
0	0	0.00066405551372389	Method 1
0	0	-0.0147756248813972	Method 1
0	0	0.0336224789908732	Method 1
0	0	0.0322661457390995	Method 1
0	0	-0.0461083611678816	Method 1
0	0	-0.0308645439386637	Method 1
0	0	-0.038233862151674	Method 1
0	0	0.0203756225997517	Method 1
0	0	-0.0100675244855006	Method 1
0	0	-0.0513316659925851	Method 1
0	0	-0.0278985414794556	Method 1
0	0	-0.0168256561689511	Method 1
0	0	0.0192133747221565	Method 1
0	0	0.0508226763451013	Method 1
0	0	0.00217616096133723	Method 1
0	0	-0.0143756793968608	Method 1
0	0	0.0340143215792771	Method 1
0	0	-0.0603746898173165	Method 1
0	0	-0.00663286692533848	Method 1
0	0	-0.0461137502995014	Method 1
0	0	-0.00397821890641536	Method 1
0	0	0.018003789014916	Method 1
0	0	0.0447994235996902	Method 1
0	0	-0.0337696157332832	Method 1
0	0	0.0137578742855481	Method 1
0	0	-0.00231916215822456	Method 1
0	0	0.00168859799367487	Method 1
0	0	-0.0651606968000531	Method 1
0	0	0.00671631091090829	Method 1
0	0	0.00992216179476348	Method 1
0	0	-0.0155326421414636	Method 1
0	0	-0.0787272733996333	Method 1
0	0	0.00672652961954513	Method 1
0	0	0.0354704735922364	Method 1
0	0	0.0440080506689311	Method 1
0	0	-0.0409672837376834	Method 1
0	0	0.0196215221767174	Method 1
0	0	0.0072168516116523	Method 1
0	0	0.00570355297143061	Method 1
0	0	0.0286581503034924	Method 1
0	0	0.0475266038667703	Method 1
0	0	0.0451534785278377	Method 1
0	0	0.0777111734473922	Method 1
0	0	0.0507601343084899	Method 1
0	0	-0.0520028176472566	Method 1
0	0	-0.020289512872905	Method 1
0	0	-0.0266285093300245	Method 1
0	0	0.0609883785782946	Method 1
0	0	-0.0235334651700824	Method 1
0	0	-0.0305493488569539	Method 1
0	0	-0.032580749755665	Method 1
0	0	-0.0351292136279605	Method 1
0	0	-0.00211510880292435	Method 1
0	0	0.0591389301816139	Method 1
0	0	-0.032396043176753	Method 1
0	0	0.0143099648336379	Method 1
0	0	-0.0509819226170109	Method 1
0	0	-0.0511910334966285	Method 1
0	0	0.0314208700124998	Method 1
0	0	-0.0100675244855006	Method 1
0	0	-0.0251900804225334	Method 1
0	0	0.0316966485721177	Method 1
0	0	0.023414983409993	Method 1
0	0	-0.0174820447326858	Method 1
0	0	-0.0271187543458051	Method 1
0	0	-0.0494027884220697	Method 1
0	0	0.00802056643933962	Method 1
0	0	-0.0352182130381092	Method 1
0	0	-0.0376425437703969	Method 1
0	0	-0.0249132576121368	Method 1
0	0	0.0230731570075691	Method 1
0	0	-0.0213979584188825	Method 1
0	0	0.000732157948025565	Method 1
0	0	0.0315350825472608	Method 1
0	0	0.00875484989438038	Method 1
0	0	0.0421469878684637	Method 1
0	0	0.0252122384310712	Method 1
0	0	-0.0174653807581216	Method 1
0	0	0.0281827459006748	Method 1
0	0	-0.0112690032324154	Method 1
0	0	0.000897453533983325	Method 1
0	0	0.00417968681304014	Method 1
0	0	-0.00757595612707543	Method 1
0	0	0.0216910993379942	Method 1
0	0	0.0297919548254094	Method 1
0	0	-0.0477692745717406	Method 1
0	0	0.0108410397417305	Method 1
0	0	0.0180003430627813	Method 1
0	0	0.00668101733728155	Method 1
0	0	-0.0328037358792454	Method 1
0	0	0.045266727564475	Method 1
0	0	-0.0239632843798564	Method 1
0	0	-0.0412133405100639	Method 1
0	0	0.0303951851082396	Method 1
0	0	-0.0778049240519492	Method 1
0	0	0.0280865786007915	Method 1
0	0	0.00441350343322575	Method 1
0	0	-0.0389464117343423	Method 1
0	0	-0.00512192096150962	Method 1
0	0	-0.000291396948355158	Method 1
0	0	0.0292758330927124	Method 1
0	0	0.0230548697002359	Method 1
0	0	0.0406203536040173	Method 1
0	0	-0.00940420948331887	Method 1
0	0	-0.0236141290220457	Method 1
0	0	-0.0374039987186746	Method 1
0	0	0.00993043989012242	Method 1
0	0	0.000603949988224959	Method 1
0	0	0.0297601986465927	Method 1
0	0	-0.0492402775499351	Method 1
0	0	0.0187127236563898	Method 1
0	0	0.0228563209810869	Method 1
0	0	0.0548037632550045	Method 1
0	0	-0.0664366766206453	Method 1
0	0	0.0262045577658109	Method 1
0	0	0.0128318559506263	Method 1
0	0	-0.0054536039535428	Method 1
0	0	0.0450100638154956	Method 1
0	0	0.0376458947467619	Method 1
0	0	0.0174493198538175	Method 1
0	0	-0.00985768162741298	Method 1
0	0	-0.00439568710363043	Method 1
0	0	0.0022092434065908	Method 1
0	0	0.00957007674582317	Method 1
0	0	0.00529505791839668	Method 1
0	0	3.64519211019098e-05	Method 1
0	0	0.00160418516432729	Method 1
0	0	-0.00461654209669516	Method 1
0	0	-0.0170977148683399	Method 1
0	0	-0.0101607544635038	Method 1
0	0	0.0267993959930886	Method 1
0	0	-0.029395756009114	Method 1
0	0	0.0241604057066185	Method 1
0	0	0.0463750304903399	Method 1
0	0	-0.00534206075026016	Method 1
0	0	0.00249809022074362	Method 1
0	0	0.0346697739606573	Method 1
0	0	-0.0304624184999953	Method 1
0	0	-0.0352182130381092	Method 1
0	0	-0.00455706855865274	Method 1
0	0	0.0555434525378945	Method 1
0	0	0.0164190801292321	Method 1
0	0	-0.0169750547861109	Method 1
0	0	-0.013793748042864	Method 1
0	0	0.0175989939364842	Method 1
0	0	0.0617156695304842	Method 1
0	0	0.0300345197648331	Method 1
0	0	-0.0110127273497988	Method 1
0	0	-0.0156218024714559	Method 1
0	0	0.0276968377381178	Method 1
0	0	-0.00190181883379587	Method 1
0	0	-0.00793264970097795	Method 1
0	0	0.014946368195178	Method 1
0	0	0.0252153070376408	Method 1
0	0	-0.0132620949580793	Method 1
0	0	0.0308627940189136	Method 1
0	0	0.0342485552566703	Method 1
0	0	-0.00619204409729201	Method 1
0	0	0.0237259617834324	Method 1
0	0	0.0510077633942069	Method 1
0	0	0.0109255012238555	Method 1
0	0	0.0175684938852322	Method 1
0	0	0.0140770885750705	Method 1
0	0	0.0157755055752272	Method 1
0	0	0.0543799818684909	Method 1
0	0	0.0133977904432967	Method 1
0	0	0.00622046368762807	Method 1
0	0	-0.0144324450603586	Method 1
0	0	-0.0433990402503561	Method 1
0	0	-0.024994434348711	Method 1
0	0	-0.0253335294777759	Method 1
0	0	-0.0192753578899118	Method 1
0	0	-0.0110201458506964	Method 1
