rho	e	dif	type
0	0	-0.0228878167896795	Method 1
0	0	-0.0102720424158287	Method 1
0	0	-0.0111208968769513	Method 1
0	0	0.0125971347794869	Method 1
0	0	-0.0891874485960775	Method 1
0	0	-0.0275462200163793	Method 1
0	0	-0.0204406108055742	Method 1
0	0	-0.000654510723320287	Method 1
0	0	-0.0163892691417265	Method 1
0	0	-0.0473702748283673	Method 1
0	0	-0.0352887188239347	Method 1
0	0	-0.0545270724977624	Method 1
0	0	-0.0967669535526439	Method 1
0	0	-0.0118020658617992	Method 1
0	0	-0.0169482476017999	Method 1
0	0	-0.0340998859065477	Method 1
0	0	-0.000700778489837404	Method 1
0	0	-0.0222659912578819	Method 1
0	0	0.0269765142174637	Method 1
0	0	0.00162061892536498	Method 1
0	0	0.0253345092354808	Method 1
0	0	-0.0224664600723445	Method 1
0	0	-0.0106844248987669	Method 1
0	0	-0.0356575998273939	Method 1
0	0	0.0485463573025985	Method 1
0	0	0.0270192554773091	Method 1
0	0	0.00935504057424699	Method 1
0	0	-0.00289989192595093	Method 1
0	0	-0.0125606464777909	Method 1
0	0	-0.0170997542076014	Method 1
0	0	0.0263423761214327	Method 1
0	0	-0.00564406778447869	Method 1
0	0	-0.00519358634435175	Method 1
0	0	-0.0773409660804281	Method 1
0	0	0.0301577294291401	Method 1
0	0	0.0064570999293541	Method 1
0	0	-0.0383484267394351	Method 1
0	0	0.0171982340256656	Method 1
0	0	0.0265332178005167	Method 1
0	0	0.0244010973648543	Method 1
0	0	-0.000238602455123407	Method 1
0	0	-0.067549756368927	Method 1
0	0	0.0253839754474262	Method 1
0	0	-0.0216405239074445	Method 1
0	0	0.0536009253697608	Method 1
0	0	0.0257450151800868	Method 1
0	0	0.0325594123744352	Method 1
0	0	-0.0239660765509371	Method 1
0	0	0.0706859058511472	Method 1
0	0	-0.046548843202792	Method 1
0	0	0.0601025460653853	Method 1
0	0	0.0394007299627717	Method 1
0	0	-0.0548988248396382	Method 1
0	0	0.00289117157299578	Method 1
0	0	-0.00410427160274986	Method 1
0	0	0.00884355732684356	Method 1
0	0	0.019409306972286	Method 1
0	0	0.0640689086984539	Method 1
0	0	0.0467141396206573	Method 1
0	0	0.0386905250233325	Method 1
0	0	0.00464322711150165	Method 1
0	0	-0.0172476305275814	Method 1
0	0	-0.0485338840234942	Method 1
0	0	-0.0191241171159957	Method 1
