rho	e	dif	type
0	0	-0.0674088636557052	Method 1
0	0	0.0545359209017357	Method 1
0	0	-0.0160482929629878	Method 1
0	0	-0.0743522446443338	Method 1
0	0	0.0404290349720234	Method 1
0	0	0.0128015882605372	Method 1
0	0	0.000376840241889542	Method 1
0	0	-0.0432066225115838	Method 1
0	0	-0.00782571893932113	Method 1
0	0	-0.000217960754064841	Method 1
0	0	0.00933205004708157	Method 1
0	0	-0.0152173053425118	Method 1
0	0	0.0406304419358038	Method 1
0	0	-0.0124228540560394	Method 1
0	0	-0.00424156579480106	Method 1
0	0	-0.0384686678215614	Method 1
0	0	-0.00947380146114154	Method 1
0	0	-0.04131428266493	Method 1
0	0	-0.0146443295851639	Method 1
0	0	0.0355605109202468	Method 1
0	0	-0.0588623953419938	Method 1
0	0	-0.00810551960244647	Method 1
0	0	0.0177914475217424	Method 1
0	0	-0.00113926625617244	Method 1
0	0	-0.0477961450887132	Method 1
0	0	-0.00122022722616132	Method 1
0	0	-0.040184990399485	Method 1
0	0	0.0390171559632348	Method 1
0	0	0.0404966674424388	Method 1
0	0	0.035328472073207	Method 1
0	0	-0.020236413219637	Method 1
0	0	-0.00972730632921671	Method 1
0	0	0.0265435245399499	Method 1
0	0	-0.0178997910715667	Method 1
0	0	0.00641347269755756	Method 1
0	0	0.0614194863985528	Method 1
0	0	-0.048322258831329	Method 1
0	0	-0.0317657533953208	Method 1
0	0	-0.0272426808291121	Method 1
0	0	-0.0143425188548092	Method 1
0	0	0.0360713058683725	Method 1
0	0	0.0370749920262007	Method 1
0	0	0.0528515758238639	Method 1
0	0	0.00690049781275156	Method 1
0	0	0.080448908591603	Method 1
0	0	-0.0357233679787415	Method 1
0	0	-0.00144611180704952	Method 1
0	0	-0.0122606835748016	Method 1
0	0	0.022597231271573	Method 1
0	0	-0.0557959736744268	Method 1
0	0	0.0215499609566737	Method 1
0	0	-0.00030270455729956	Method 1
0	0	0.0154543521796609	Method 1
0	0	0.0449672998165258	Method 1
0	0	-0.0551080934376573	Method 1
0	0	-0.0025455404811931	Method 1
0	0	-0.0083128893378334	Method 1
0	0	0.0285290785907974	Method 1
0	0	0.0665723743972879	Method 1
0	0	0.0462536890842608	Method 1
0	0	-0.020147365718161	Method 1
0	0	0.0346517914852041	Method 1
0	0	0.0449635542987129	Method 1
0	0	-0.000204737993124848	Method 1
0	0	0.0096533428525798	Method 1
0	0	0.0491099338828658	Method 1
0	0	0.0279372712720046	Method 1
0	0	-0.0450076041003504	Method 1
0	0	0.0395865277105367	Method 1
0	0	-0.0232526207686592	Method 1
0	0	0.0240496618879596	Method 1
0	0	-0.00881215519306437	Method 1
0	0	-0.0464934668746736	Method 1
0	0	-0.0138501103217633	Method 1
0	0	0.0112519568815977	Method 1
0	0	0.0406237034170473	Method 1
0	0	0.0342056618862344	Method 1
0	0	0.0107550210750139	Method 1
0	0	-0.0286969208431242	Method 1
0	0	-0.00884146831688448	Method 1
0	0	0.0239211740837602	Method 1
0	0	0.00836094205624937	Method 1
0	0	0.0084502966579084	Method 1
0	0	-0.0260185390479535	Method 1
0	0	0.0580455842912724	Method 1
0	0	-0.0544472510291921	Method 1
0	0	-0.0677083114113172	Method 1
0	0	-0.0229924764195643	Method 1
0	0	0.00397460484625605	Method 1
0	0	0.0142800535298649	Method 1
0	0	-0.00604879453803535	Method 1
0	0	-0.00599860683414728	Method 1
0	0	-0.0230872351287443	Method 1
0	0	-0.0267750737385634	Method 1
0	0	0.0275366444499851	Method 1
0	0	0.0260230480592101	Method 1
0	0	-0.00524698043293035	Method 1
