rho	e1	e2	e3	e4	pval1	pval2	pval3	pval4	Fisher	mvLMMs
0.1	0.1	0.1	0.1	0.1	0.0282937	0.00366842	0.000372797	0.0125047	1.282776e-06	6.596861e-05
0.1	0.1	0.1	0.1	0.1	0.00769436	0.0727552	0.0217012	0.00926523	0.0001120972	0.003426695
0.1	0.1	0.1	0.1	0.1	0.240546	0.00483735	0.0931877	0.0472252	0.002214223	0.01452498
0.1	0.1	0.1	0.1	0.1	0.0264454	0.118892	0.265305	0.0914927	0.01594994	0.05595401
0.1	0.1	0.1	0.1	0.1	0.0306587	0.217062	0.0170198	0.370875	0.01059746	0.03878344
0.1	0.1	0.1	0.1	0.1	0.00669148	0.0295484	0.265476	0.276991	0.005296194	0.0251034
0.1	0.1	0.1	0.1	0.1	0.348337	0.00366838	0.0643507	0.00467506	0.0002977639	0.001901756
0.1	0.1	0.1	0.1	0.1	0.161395	0.0165779	0.660066	0.180196	0.04305298	0.0869771
0.1	0.1	0.1	0.1	0.1	0.123825	0.215181	0.155263	0.340411	0.1105869	0.2702579
0.1	0.1	0.1	0.1	0.1	0.0800856	0.188528	0.000303642	0.0369953	0.0001917461	0.001937107
0.1	0.1	0.1	0.1	0.1	0.00302598	0.394752	0.000794525	0.739395	0.0004654541	0.001411646
0.1	0.1	0.1	0.1	0.1	0.0026584	0.118954	0.0259178	0.100156	0.0005509694	0.005266246
0.1	0.1	0.1	0.1	0.1	0.0868043	0.076391	0.793425	0.0027012	0.004551902	0.01135086
0.1	0.1	0.1	0.1	0.1	0.182275	0.855585	0.0111763	0.338707	0.06470974	0.07910896
0.1	0.1	0.1	0.1	0.1	0.274288	0.0240774	0.0179502	0.110493	0.004564271	0.02623415
0.1	0.1	0.1	0.1	0.1	0.0371486	0.00160585	1.3745e-05	0.216584	5.464529e-07	8.265742e-06
0.1	0.1	0.1	0.1	0.1	0.342437	0.0304038	0.155015	0.429286	0.0699382	0.1168973
0.1	0.1	0.1	0.1	0.1	0.0517988	0.0489918	0.043384	0.00761916	0.0005625988	0.005139935
0.1	0.1	0.1	0.1	0.1	0.0656582	0.103436	0.00402694	0.316539	0.003403978	0.01753543
0.1	0.1	0.1	0.1	0.1	0.000993459	0.00518815	0.00219094	0.00665975	2.547145e-07	1.653911e-05
0.1	0.1	0.1	0.1	0.1	0.0107345	0.0185005	0.00139107	0.0019224	1.170975e-06	2.881484e-05
0.1	0.1	0.1	0.1	0.1	0.723144	0.399665	0.574822	0.519405	0.7620659	0.786003
0.1	0.1	0.1	0.1	0.1	0.00342729	0.0204679	0.0129523	0.191141	0.0001545779	0.003125714
0.1	0.1	0.1	0.1	0.1	0.153955	0.106426	0.120175	0.11893	0.03418827	0.1048528
0.1	0.1	0.1	0.1	0.1	0.0157315	0.00150571	0.603778	0.0163212	0.0001999004	0.001281364
