rho	e	Marginal pval	Multivariate pval	type
0	0	0.607612	0.7145706	Nonadmixed Indep
0	0	0.514125	0.8979561	Nonadmixed Indep
0	0	0.188491	0.4972969	Nonadmixed Indep
0	0	0.25141	0.4371257	Nonadmixed Indep
0	0	0.654295	0.7712756	Nonadmixed Indep
0	0	0.327729	0.1330807	Nonadmixed Indep
0	0	0.786647	0.153523	Nonadmixed Indep
0	0	0.841129	0.8585416	Nonadmixed Indep
0	0	0.399299	0.4422369	Nonadmixed Indep
0	0	0.0453574	0.06535896	Nonadmixed Indep
0	0	0.904175	0.5072409	Nonadmixed Indep
0	0	0.423554	0.9560595	Nonadmixed Indep
0	0	0.61368	0.4810503	Nonadmixed Indep
0	0	0.687758	0.1329138	Nonadmixed Indep
0	0	0.618278	0.20797	Nonadmixed Indep
0	0	0.917875	0.9709531	Nonadmixed Indep
0	0	0.0232425	0.1399538	Nonadmixed Indep
0	0	0.015969	0.2549445	Nonadmixed Indep
0	0	0.333037	0.6799178	Nonadmixed Indep
0	0	0.734053	0.3218979	Nonadmixed Indep
0	0	0.359135	0.3894363	Nonadmixed Indep
0	0	0.0429317	0.22643	Nonadmixed Indep
0	0	0.889582	0.2948523	Nonadmixed Indep
0	0	0.421596	0.9172126	Nonadmixed Indep
0	0	0.490117	0.7667243	Nonadmixed Indep
0	0	0.531867	0.1994983	Nonadmixed Indep
0	0	0.138198	0.1988213	Nonadmixed Indep
0	0	0.680372	0.09139548	Nonadmixed Indep
0	0	0.528312	0.4994949	Nonadmixed Indep
0	0	0.788857	0.05297679	Nonadmixed Indep
0	0	0.456994	0.6292284	Nonadmixed Indep
0	0	0.319116	0.4944964	Nonadmixed Indep
0	0	0.817233	0.863375	Nonadmixed Indep
0	0	0.622493	0.3257224	Nonadmixed Indep
0	0	0.532096	0.8886844	Nonadmixed Indep
0	0	0.106637	0.1867928	Nonadmixed Indep
0	0	0.797324	0.6621334	Nonadmixed Indep
0	0	0.530959	0.584779	Nonadmixed Indep
0	0	0.723722	0.7288607	Nonadmixed Indep
0	0	0.640664	0.8192144	Nonadmixed Indep
0	0	0.352017	0.2684331	Nonadmixed Indep
0	0	0.920807	0.8439733	Nonadmixed Indep
0	0	0.20568	0.5470336	Nonadmixed Indep
0	0	0.285326	0.2911057	Nonadmixed Indep
0	0	0.697586	0.9302411	Nonadmixed Indep
0	0	0.119915	0.2048385	Nonadmixed Indep
0	0	0.52249	0.5126415	Nonadmixed Indep
0	0	0.152748	0.3030677	Nonadmixed Indep
0	0	0.187543	0.3100973	Nonadmixed Indep
0	0	0.965726	0.7563939	Nonadmixed Indep
0	0	0.511724	0.3634623	Nonadmixed Indep
0	0	0.316291	0.8615232	Nonadmixed Indep
0	0	0.212243	0.2336536	Nonadmixed Indep
0	0	0.500391	0.6406048	Nonadmixed Indep
0	0	0.598177	0.1266163	Nonadmixed Indep
0	0	0.952572	0.2053083	Nonadmixed Indep
0	0	0.680149	0.6120441	Nonadmixed Indep
0	0	0.224971	0.4564069	Nonadmixed Indep
0	0	0.209425	0.8365479	Nonadmixed Indep
0	0	0.100163	0.3515461	Nonadmixed Indep
0	0	0.649215	0.7396956	Nonadmixed Indep
0	0	0.387503	0.2634812	Nonadmixed Indep
0	0	0.651139	0.2367402	Nonadmixed Indep
0	0	0.182401	0.68357	Nonadmixed Indep
0	0	0.881957	0.2927381	Nonadmixed Indep
0	0	0.178948	0.07208321	Nonadmixed Indep
0	0	0.65772	0.7705575	Nonadmixed Indep
0	0	0.0681402	0.2384465	Nonadmixed Indep
0	0	0.0920184	0.3085948	Nonadmixed Indep
0	0	0.921212	0.9981132	Nonadmixed Indep
0	0	0.672913	0.5844644	Nonadmixed Indep
0	0	0.274575	0.749729	Nonadmixed Indep
0	0	0.793408	0.1231	Nonadmixed Indep
0	0	0.378741	0.6707466	Nonadmixed Indep
0	0	0.460884	0.81079	Nonadmixed Indep
0	0	0.804133	0.7944466	Nonadmixed Indep
0	0	0.500703	0.3303517	Nonadmixed Indep
0	0	0.68896	0.3020581	Nonadmixed Indep
0	0	0.291684	0.3764387	Nonadmixed Indep
0	0	0.010267	0.2115772	Nonadmixed Indep
0	0	0.987132	0.9110343	Nonadmixed Indep
0	0	0.209573	0.7541635	Nonadmixed Indep
0	0	0.125881	0.4253882	Nonadmixed Indep
0	0	0.200148	0.581832	Nonadmixed Indep
0	0	0.614717	0.3491233	Nonadmixed Indep
0	0	0.517578	0.2919447	Nonadmixed Indep
0	0	0.220886	0.5057456	Nonadmixed Indep
0	0	0.581064	0.2008813	Nonadmixed Indep
0	0	0.701315	0.5349771	Nonadmixed Indep
0	0	0.981687	0.9463084	Nonadmixed Indep
0	0	0.333842	0.9109976	Nonadmixed Indep
0	0	0.295892	0.2317929	Nonadmixed Indep
0	0	0.395581	0.6181242	Nonadmixed Indep
0	0	0.486411	0.3847699	Nonadmixed Indep
0	0	0.817577	0.7632311	Nonadmixed Indep
0	0	0.510055	0.06356254	Nonadmixed Indep
0	0	0.692134	0.6078258	Nonadmixed Indep
0	0	0.981	0.7540049	Nonadmixed Indep
0	0	0.807356	0.7118786	Nonadmixed Indep
0	0	0.949893	0.7021157	Nonadmixed Indep
0	0	0.267626	0.3348834	Nonadmixed Indep
0	0	0.476498	0.7502138	Nonadmixed Indep
0	0	0.0277627	0.3576773	Nonadmixed Indep
0	0	0.852725	0.2036459	Nonadmixed Indep
0	0	0.885948	0.1412709	Nonadmixed Indep
0	0	0.91864	0.655801	Nonadmixed Indep
0	0	0.597752	0.9701351	Nonadmixed Indep
0	0	0.427014	0.7557128	Nonadmixed Indep
0	0	0.144571	0.3279342	Nonadmixed Indep
0	0	0.924282	0.9987396	Nonadmixed Indep
0	0	0.112934	0.2463524	Nonadmixed Indep
0	0	0.703825	0.501975	Nonadmixed Indep
0	0	0.396945	0.736177	Nonadmixed Indep
0	0	0.508988	0.700172	Nonadmixed Indep
0	0	0.940763	0.6352053	Nonadmixed Indep
0	0	0.480951	0.7146337	Nonadmixed Indep
0	0	0.315812	0.3593884	Nonadmixed Indep
0	0	0.673042	0.6663856	Nonadmixed Indep
0	0	0.305978	0.1458605	Nonadmixed Indep
0	0	0.505275	0.9737867	Nonadmixed Indep
0	0	0.391495	0.4929784	Nonadmixed Indep
0	0	0.997847	0.3548226	Nonadmixed Indep
0	0	0.0278714	0.02768507	Nonadmixed Indep
0	0	0.401342	0.1398017	Nonadmixed Indep
0	0	0.180832	0.6161747	Nonadmixed Indep
0	0	0.654002	0.9943825	Nonadmixed Indep
