rho	e	Marginal pval	Multivariate pval	type
0	0.1	0.00629798	0.0001446778	Nonadmixed Indep
0	0.1	0.0120819	0.04870978	Nonadmixed Indep
0	0.1	0.031025	0.002865405	Nonadmixed Indep
0	0.1	0.303412	0.006178293	Nonadmixed Indep
0	0.1	0.269651	0.00129798	Nonadmixed Indep
0	0.1	0.0199399	0.002648214	Nonadmixed Indep
0	0.1	0.125773	0.0002634188	Nonadmixed Indep
0	0.1	0.18678	0.02662147	Nonadmixed Indep
0	0.1	0.0013322	1.614147e-07	Nonadmixed Indep
0	0.1	0.128853	0.09373524	Nonadmixed Indep
0	0.1	0.00898526	0.0007035546	Nonadmixed Indep
0	0.1	0.00433329	0.009793735	Nonadmixed Indep
0	0.1	0.158003	0.0005722587	Nonadmixed Indep
0	0.1	0.00153119	1.349429e-05	Nonadmixed Indep
0	0.1	0.0822792	0.1080047	Nonadmixed Indep
0	0.1	0.625802	0.003155269	Nonadmixed Indep
0	0.1	0.0270879	0.0003502592	Nonadmixed Indep
0	0.1	0.00793386	0.004565188	Nonadmixed Indep
0	0.1	0.0627464	0.004160987	Nonadmixed Indep
0	0.1	0.25919	4.418728e-05	Nonadmixed Indep
0	0.1	0.6419	5.342477e-05	Nonadmixed Indep
0	0.1	0.00892271	3.042986e-08	Nonadmixed Indep
0	0.1	0.214252	0.0001265511	Nonadmixed Indep
0	0.1	0.139402	0.1274072	Nonadmixed Indep
0	0.1	0.0313466	4.328919e-07	Nonadmixed Indep
0	0.1	0.02279	0.01748594	Nonadmixed Indep
0	0.1	0.0163335	0.01965949	Nonadmixed Indep
0	0.1	0.000156473	6.350045e-08	Nonadmixed Indep
0	0.1	0.246516	0.003047916	Nonadmixed Indep
0	0.1	0.0954988	0.05776339	Nonadmixed Indep
0	0.1	0.421347	0.0104256	Nonadmixed Indep
0	0.1	0.0441027	0.006907426	Nonadmixed Indep
0	0.1	0.000557649	0.01256	Nonadmixed Indep
0	0.1	0.242823	0.155781	Nonadmixed Indep
0	0.1	0.445619	0.1066464	Nonadmixed Indep
0	0.1	0.971107	0.08236944	Nonadmixed Indep
0	0.1	0.183645	0.001291459	Nonadmixed Indep
0	0.1	0.0483687	0.0007596379	Nonadmixed Indep
0	0.1	0.109644	1.831046e-05	Nonadmixed Indep
0	0.1	0.003603	4.338498e-05	Nonadmixed Indep
0	0.1	0.051071	3.152784e-07	Nonadmixed Indep
0	0.1	0.191612	1.627292e-05	Nonadmixed Indep
0	0.1	0.107914	0.5193092	Nonadmixed Indep
0	0.1	0.0453481	0.0001293889	Nonadmixed Indep
0	0.1	0.0177821	5.857196e-07	Nonadmixed Indep
0	0.1	0.00460323	0.005356629	Nonadmixed Indep
0	0.1	0.00760008	0.003418074	Nonadmixed Indep
0	0.1	0.152294	0.02487558	Nonadmixed Indep
0	0.1	0.0533768	0.0001735879	Nonadmixed Indep
0	0.1	0.0625787	0.01622209	Nonadmixed Indep
0	0.1	0.00272343	0.003772517	Nonadmixed Indep
0	0.1	0.000151913	0.0004547793	Nonadmixed Indep
0	0.1	1.51801e-07	1.183257e-07	Nonadmixed Indep
0	0.1	0.150353	0.0002134622	Nonadmixed Indep
0	0.1	0.00596261	0.001658729	Nonadmixed Indep
0	0.1	0.0287723	0.0004852211	Nonadmixed Indep
0	0.1	0.147343	0.008984682	Nonadmixed Indep
0	0.1	0.0454846	0.0007205521	Nonadmixed Indep
0	0.1	0.0971217	7.127117e-05	Nonadmixed Indep
0	0.1	0.0350285	0.000151647	Nonadmixed Indep
0	0.1	0.000251352	4.010967e-05	Nonadmixed Indep
0	0.1	0.205884	0.0007377002	Nonadmixed Indep
0	0.1	0.0315942	0.002128509	Nonadmixed Indep
0	0.1	0.0117043	0.0002222989	Nonadmixed Indep
0	0.1	0.0221985	1.752587e-06	Nonadmixed Indep
0	0.1	0.000421165	1.692801e-07	Nonadmixed Indep
0	0.1	0.00322552	3.110923e-05	Nonadmixed Indep
0	0.1	0.0668812	0.01816336	Nonadmixed Indep
0	0.1	0.00255535	3.134675e-06	Nonadmixed Indep
0	0.1	0.0885869	1.64309e-06	Nonadmixed Indep
0	0.1	0.0112685	4.357066e-06	Nonadmixed Indep
0	0.1	0.0196742	9.39318e-05	Nonadmixed Indep
0	0.1	0.136868	0.007487694	Nonadmixed Indep
0	0.1	0.784246	0.04471513	Nonadmixed Indep
0	0.1	0.0609227	0.002998876	Nonadmixed Indep
0	0.1	0.00841616	0.001624673	Nonadmixed Indep
0	0.1	0.00137265	4.166006e-05	Nonadmixed Indep
0	0.1	0.207661	3.506476e-05	Nonadmixed Indep
0	0.1	0.0901	0.09612198	Nonadmixed Indep
0	0.1	0.275399	0.0002693627	Nonadmixed Indep
0	0.1	0.0320047	0.01542554	Nonadmixed Indep
0	0.1	0.000616263	5.663129e-05	Nonadmixed Indep
0	0.1	0.402086	3.988403e-05	Nonadmixed Indep
0	0.1	0.13583	0.007672632	Nonadmixed Indep
0	0.1	0.488807	0.01621753	Nonadmixed Indep
0	0.1	0.0486668	0.0001061592	Nonadmixed Indep
0	0.1	0.00405407	0.00263357	Nonadmixed Indep
0	0.1	0.524479	3.117834e-06	Nonadmixed Indep
0	0.1	0.348249	6.418404e-05	Nonadmixed Indep
0	0.1	0.00476045	3.328366e-06	Nonadmixed Indep
0	0.1	0.312924	0.007546775	Nonadmixed Indep
0	0.1	0.0700499	7.468565e-05	Nonadmixed Indep
0	0.1	0.0301647	1.197796e-05	Nonadmixed Indep
0	0.1	0.00126668	0.0003237643	Nonadmixed Indep
0	0.1	0.294516	0.05059761	Nonadmixed Indep
0	0.1	0.00431059	1.298702e-05	Nonadmixed Indep
0	0.1	0.0967585	2.387692e-07	Nonadmixed Indep
0	0.1	0.551396	0.008070169	Nonadmixed Indep
0	0.1	0.0822868	4.377201e-06	Nonadmixed Indep
0	0.1	0.00876934	4.883041e-05	Nonadmixed Indep
0	0.1	0.108767	0.02761998	Nonadmixed Indep
0	0.1	0.00202095	0.001090766	Nonadmixed Indep
0	0.1	0.361399	0.01074087	Nonadmixed Indep
0	0.1	0.016154	0.0195414	Nonadmixed Indep
0	0.1	0.0377521	0.007495225	Nonadmixed Indep
0	0.1	0.0308938	0.1278762	Nonadmixed Indep
0	0.1	0.104364	9.409474e-05	Nonadmixed Indep
0	0.1	0.0189963	7.813341e-05	Nonadmixed Indep
0	0.1	0.00203923	0.0001066541	Nonadmixed Indep
0	0.1	0.00589911	0.01259321	Nonadmixed Indep
0	0.1	0.397361	0.1806744	Nonadmixed Indep
0	0.1	0.103207	1.73674e-07	Nonadmixed Indep
0	0.1	0.387614	0.001194765	Nonadmixed Indep
0	0.1	0.00599213	4.905721e-06	Nonadmixed Indep
0	0.1	0.0779545	8.469351e-07	Nonadmixed Indep
0	0.1	0.150787	0.00102356	Nonadmixed Indep
0	0.1	0.002422	1.337063e-05	Nonadmixed Indep
0	0.1	0.000180427	2.57996e-05	Nonadmixed Indep
0	0.1	0.097479	0.0003743289	Nonadmixed Indep
0	0.1	0.229534	0.00161612	Nonadmixed Indep
0	0.1	0.0106927	1.319422e-06	Nonadmixed Indep
0	0.1	0.00871921	0.003686557	Nonadmixed Indep
0	0.1	0.0253133	0.0001110625	Nonadmixed Indep
0	0.1	0.000698375	0.002575169	Nonadmixed Indep
0	0.1	0.00613418	0.001057964	Nonadmixed Indep
0	0.1	0.653946	0.02299224	Nonadmixed Indep
0	0.1	0.0326205	8.060568e-06	Nonadmixed Indep
0	0.1	0.139105	0.05292291	Nonadmixed Indep
0	0.1	0.000180983	5.530988e-08	Nonadmixed Indep
0	0.1	0.723288	0.001457141	Nonadmixed Indep
0	0.1	0.008229	0.001674352	Nonadmixed Indep
0	0.1	0.0210677	0.001349699	Nonadmixed Indep
0	0.1	0.0719456	0.0007580823	Nonadmixed Indep
0	0.1	0.000320038	0.0008728937	Nonadmixed Indep
0	0.1	0.977726	0.2170893	Nonadmixed Indep
0	0.1	0.0828468	0.02817096	Nonadmixed Indep
0	0.1	0.00117712	0.008515657	Nonadmixed Indep
0	0.1	0.621491	0.001772848	Nonadmixed Indep
0	0.1	0.405154	0.07964611	Nonadmixed Indep
0	0.1	0.128372	0.008095639	Nonadmixed Indep
0	0.1	0.0951456	0.006114809	Nonadmixed Indep
0	0.1	0.38127	0.01299258	Nonadmixed Indep
0	0.1	0.195842	1.01055e-06	Nonadmixed Indep
0	0.1	0.0890025	0.1553358	Nonadmixed Indep
0	0.1	0.0104336	1.54738e-06	Nonadmixed Indep
0	0.1	0.00345	0.002741078	Nonadmixed Indep
0	0.1	0.205265	0.01248492	Nonadmixed Indep
0	0.1	0.0134465	9.327815e-06	Nonadmixed Indep
0	0.1	0.079196	0.0002824737	Nonadmixed Indep
0	0.1	0.211502	1.782742e-06	Nonadmixed Indep
0	0.1	0.105323	0.0002241643	Nonadmixed Indep
0	0.1	0.0258044	4.43731e-07	Nonadmixed Indep
0	0.1	0.0910436	0.006771823	Nonadmixed Indep
0	0.1	0.536882	0.0009274495	Nonadmixed Indep
0	0.1	0.000182827	6.329732e-08	Nonadmixed Indep
0	0.1	0.124625	0.0002958139	Nonadmixed Indep
0	0.1	0.306123	0.01940241	Nonadmixed Indep
0	0.1	0.842184	2.515378e-05	Nonadmixed Indep
